text,url,description,parent_section,link_type,page_title
DO Letter Regarding Definition of Literacy,https://ncert.nic.in/pdf/announcement/notices/miscellaneous/DO_Letter_Regarding_Definition_of_Literacy.pdf,,,internal,NCERT
PRAYAAS 2024-25 (Guidelines),https://ncert.nic.in/desm/pdf/PRAYAAS_2024-25_Extension_Notice.pdf,,,internal,NCERT
PDF,https://ncert.nic.in/pdf/announcement/SapnoKiUdaan.pdf,,,internal,NCERT
Flipbook,https://ncert.nic.in/flipbook/SapnoKiUdaan/,,,internal,NCERT
PDF,https://ncert.nic.in/pdf/announcement/NCERT-Advisory-for-Schools.pdf,,,internal,NCERT
Flipbook,https://ncert.nic.in/flipbook/NCERT-Advisory-for-Schools/,,,internal,NCERT
National Evaluation of Kasturba Gandhi Balika Vidyalaya - 2022-2023 (Report),https://ncert.nic.in/dgs/pdf/KGBV_Report2022-2023.pdf,,,internal,NCERT
Techdaan,https://ncert.nic.in/pdf/Tech_Daan_Date_Extension_Notice.pdf,,,internal,NCERT
UPAAN : Two-week Foundation Programme for Grade 3,https://ncert.nic.in/pdf/programmes/upaan/UPAAN_Grade_3.pdf,,,internal,NCERT
Guidelines,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Guidelines.pdf,,,internal,NCERT
Sanskrit,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Sanskrit.pdf,,,internal,NCERT
Art Education,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Art_Education.pdf,,,internal,NCERT
English,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-English(R2).pdf,,,internal,NCERT
Science,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Science.pdf,,,internal,NCERT
Urdu,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Urdu.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-hindi.pdf,,,internal,NCERT
Mathematics,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Mathematics.pdf,,,internal,NCERT
Physical Education,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Physical-education.pdf,,,internal,NCERT
Vocational Education,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Vocational-education.pdf,,,internal,NCERT
Social Science,https://ncert.nic.in/pdf/Bridge_Month_Program/Grade6/BMP_Grade-6-Social_Science.pdf,,,internal,NCERT
Report on ULLAS mela,https://ncert.nic.in/pdf/cncl/pdf/Report_on_ULLAS_mela.pdf,,,internal,NCERT
Special Modules,https://ncert.nic.in/special_modules.php,,,internal,NCERT
Techdaan,https://ncert.nic.in/pdf/techdaan_16_1_24.pdf,,,internal,NCERT
PRERANA : The School of Experiential Learning  - (Registration link ),https://prerana.education.gov.in,,,external,NCERT
Citizen's/Client's Charter of NCERT,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/Citizen_Charter_for_Updated_2023.pdf,,,internal,NCERT
ULLAS,https://ncert.nic.in/cncl/resources/flipbook/ullas_complete_book/#page=1,,,internal,NCERT
Song,https://www.youtube.com/watch?v=_FwqTbAz8YY&list=PLUgLcpnv1YieLeB1i_fejPZ5j9H8KjD5k&index=2,,,external,NCERT
Documentary,https://www.youtube.com/watch?v=yO1r8OAkFgU&list=PLUgLcpnv1YieLeB1i_fejPZ5j9H8KjD5k&index=3&t=9s,,,external,NCERT
Rashtriya Avishkar Saptah 2023-24 Guidelines  (English),https://ncert.nic.in/desm/pdf/Rashtriya_Avishkar_Saptah_eng.pdf,,,internal,NCERT
(Hindi),https://ncert.nic.in/desm/pdf/Rashtriya_Avishkar_Saptah_hin.pdf,,,internal,NCERT
Art Integrated Learning Guidelines for Secondary Stage,https://ncert.nic.in/pdf/announcement/AILG-Secondary-English.pdf,,,internal,NCERT
PDF,https://ncert.nic.in/pdf/Mann-Ki-Baat-1-For-digital.pdf,,,internal,NCERT
Flipbook,https://ncert.nic.in/flipbook/Mann-Ki-Baat-1-For-digital_design-2/,,,internal,NCERT
NIPUN Bharat Mission: Stakeholders Roles & Responsibilities,https://ncert.nic.in/pdf/NIPUN_BharatStakeholders_RolesResponsibilities.pdf,,,internal,NCERT
D.O. letter,https://ncert.nic.in/pdf/Do_letter_NBS.pdf,,,internal,NCERT
G20 Reading Materials for Students,https://ncert.nic.in/g20.php,,,internal,NCERT
Integrating Transgender Concerns In Schooling Processes: A Module for School Staff,https://ncert.nic.in/pdf/announcement/Transgender_Module_13-1-23.pdf,,,internal,NCERT
Vidya Pravesh (Three-month Play-based School Preparation for Grade-I) - Guidelines- English,https://ncert.nic.in/pdf/VidyaPravesh_Guidelines_GradeI.pdf,,,internal,NCERT
Guidelines- Hindi,https://ncert.nic.in/pdf/VidyaPravesh_Guidelines_Hindi.pdf,,,internal,NCERT
Module- English,https://ncert.nic.in/pdf/vidyapravesh.pdf,,,internal,NCERT
Module- Hindi,https://ncert.nic.in/pdf/VidhyaPraveshModule-Hindi.pdf,,,internal,NCERT
"Toy-Based Pedagogy (Learning for Fun, Joy and Holistic Development)",https://ncert.nic.in/pdf/notice/toy_based_pedagogy.pdf,,,internal,NCERT
Vidyanjali Brochure,https://ncert.nic.in/pdf/notice/DO_VidyanjaliBrochure.pdf,,,internal,NCERT
Part 1,https://ncert.nic.in/cncl/resources/primers/hindi_cncl/bhag_1/ullas_1_complete.pdf,,,internal,NCERT
Part 2,https://ncert.nic.in/cncl/resources/primers/hindi_cncl/bhag_2/ullas_bhag_2_complete.pdf,,,internal,NCERT
Part 3,https://ncert.nic.in/cncl/resources/primers/hindi_cncl/bhag_3/ullas_bhag_3_complete.pdf,,,internal,NCERT
Part 4,https://ncert.nic.in/cncl/resources/primers/hindi_cncl/bhag_4/ullas_bhag_4_complete.pdf,,,internal,NCERT
